,银行,证券,房地产,酒,消费,农业,食品饮料,半导体,5G,计算机,软件,医药,医疗,生物科技,煤炭,钢铁,有色金属,光伏,新能车,环保,军工,高端装备,机械设备,传媒,电子,通信,物流,公用事业,基建,现金,总资产,收益率,峰值,回撤
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,,1000000.0,0.0
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
2018-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
2018-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
2018-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,1000000.0,0.0,1000000.0,0.0
