证券代码,证券名称,candle_end_time,open,最高价,最低价,close,涨跌,涨跌幅%,成交量,成交额
399019,创业200,2012-06-29,1000,1000,1000,1000,--,--,0,0
399019,创业200,2012-07-02,1008.16,1024.32,1006.89,1021.38,21.38,2.14,291282200,4286724066
399019,创业200,2012-07-03,1022.09,1042.11,1021.07,1037.36,15.98,1.56,368274100,5471276060
399019,创业200,2012-07-04,1038.15,1039.24,1023.39,1027.22,-10.14,-0.98,320301200,4629175278
399019,创业200,2012-07-05,1019.27,1019.27,1003.16,1005.25,-21.96,-2.14,257013900,3803752573
399019,创业200,2012-07-06,1008.57,1018.47,987.36,1017.83,12.57,1.25,283352500,4173807333
399019,创业200,2012-07-09,1007.31,1016.06,990.77,990.77,-27.05,-2.66,289049400,4126136426
399019,创业200,2012-07-10,981.55,983.23,965.9,967.21,-23.56,-2.38,234765200,3152362625
399019,创业200,2012-07-11,962.88,974.36,962.5,974.36,7.15,0.74,201286800,2698961899
399019,创业200,2012-07-12,969.98,988.68,965.17,985.43,11.07,1.14,255578000,3384949787
399019,创业200,2012-07-13,978.68,987.65,970.61,970.61,-14.82,-1.5,267886400,3524954570
399019,创业200,2012-07-16,962.61,962.61,925.54,926.25,-44.36,-4.57,308442600,3915842632
399019,创业200,2012-07-17,917,929.52,911.42,929.52,3.26,0.35,225562200,2865129485
399019,创业200,2012-07-18,926.22,938.47,917.04,938.47,8.96,0.96,248308100,3235982248
399019,创业200,2012-07-19,934.6,957.64,934.08,951.16,12.69,1.35,275232600,3519089465
399019,创业200,2012-07-20,947.8,960.36,946.39,947.64,-3.52,-0.37,252845000,3334433970
399019,创业200,2012-07-23,936.98,943.88,930.2,938.51,-9.13,-0.96,213548700,2764431094
399019,创业200,2012-07-24,931.83,956.48,931.83,952.15,13.64,1.45,215328000,2810108413
399019,创业200,2012-07-25,948.46,963.09,947.81,950.91,-1.24,-0.13,208977700,2759986054
399019,创业200,2012-07-26,951.46,958.48,940.59,942.03,-8.88,-0.93,174510300,2277099906
399019,创业200,2012-07-27,950.8,951.05,934.28,941.44,-0.59,-0.06,190030200,2511481615
399019,创业200,2012-07-30,942.03,943.23,910.65,915.24,-26.2,-2.78,179744900,2241690021
399019,创业200,2012-07-31,912.44,912.69,891.93,892.84,-22.4,-2.45,162894300,1992603243
399019,创业200,2012-08-01,892.93,916.28,892.93,911.59,18.74,2.1,151143000,1877909760
399019,创业200,2012-08-02,907.54,920.38,906.38,914.87,3.28,0.36,168067900,2161355920
399019,创业200,2012-08-03,916.39,939.19,912.39,939.19,24.33,2.66,196305700,2497412163
399019,创业200,2012-08-06,932.07,965.36,932.07,963.9,24.71,2.63,246290200,3292259694
399019,创业200,2012-08-07,962.27,972.85,962.27,972.85,8.95,0.93,239337900,3206055269
399019,创业200,2012-08-08,970.99,971.44,955.49,963.91,-8.94,-0.92,190092100,2473633816
399019,创业200,2012-08-09,962.14,985.37,961.96,985.37,21.46,2.23,256612700,3406777561
399019,创业200,2012-08-10,983.24,987.32,978.1,985.59,0.23,0.02,223792600,2971955892
399019,创业200,2012-08-13,982.68,988.02,968.31,968.4,-17.2,-1.74,232635800,3057089375
399019,创业200,2012-08-14,966,980.59,947.79,980.59,12.19,1.26,235496400,3123439190
399019,创业200,2012-08-15,972.37,976.74,965.48,966.2,-14.39,-1.47,175095900,2371267756
399019,创业200,2012-08-16,961.16,965.82,952.67,954.3,-11.9,-1.23,139352900,1811445497
399019,创业200,2012-08-17,950.13,957.19,943.65,955.5,1.2,0.13,128128200,1678783407
399019,创业200,2012-08-20,946.4,969.69,945.62,969.42,13.91,1.46,158940900,2077661679
399019,创业200,2012-08-21,968.53,1000.71,968.53,994.42,25,2.58,277930400,3548141138
399019,创业200,2012-08-22,997.26,1004.46,989.9,996.28,1.87,0.19,302524600,4037276033
399019,创业200,2012-08-23,992.86,1009.95,991.58,1009.58,13.3,1.33,305000100,3747502067
399019,创业200,2012-08-24,1001.48,1007.27,984.23,984.23,-25.35,-2.51,282142900,3306859394
399019,创业200,2012-08-27,975.06,975.43,964.33,964.53,-19.7,-2,202032300,2474438499
399019,创业200,2012-08-28,964.1,984.48,960.3,980.09,15.56,1.61,205781800,2625390445
399019,创业200,2012-08-29,976.9,1000.1,976.63,987.64,7.56,0.77,280732700,3434424721
399019,创业200,2012-08-30,981.95,988.44,934.08,953.47,-34.18,-3.46,307194200,3872210821
399019,创业200,2012-08-31,949.8,966.37,948.42,962.81,9.35,0.98,188096900,2378993964
399019,创业200,2012-09-03,956.72,986.29,956.72,984.78,21.97,2.28,209243500,2714612469
399019,创业200,2012-09-04,986.63,1001.98,985.7,986.89,2.11,0.21,259840000,3403955893
399019,创业200,2012-09-05,985.21,1007.32,984.79,1004.47,17.59,1.78,285621600,3448889721
399019,创业200,2012-09-06,1009.16,1015.97,1002.23,1015.97,11.49,1.14,287262700,3645716528
399019,创业200,2012-09-07,1028.29,1047.72,1024.01,1041.77,25.8,2.54,456064300,5862783402
399019,创业200,2012-09-10,1041.82,1058.35,1038.79,1055.29,13.52,1.3,416521900,5558199938
399019,创业200,2012-09-11,1048.57,1055.6,1045.31,1050.74,-4.55,-0.43,327095900,4423130426
399019,创业200,2012-09-12,1056.26,1056.26,1040.46,1052.77,2.03,0.19,306186400,4053687160
399019,创业200,2012-09-13,1050.89,1056.93,1037.4,1037.4,-15.38,-1.46,303773900,4013795905
399019,创业200,2012-09-14,1046.19,1046.19,1019.9,1030.34,-7.06,-0.68,264383300,3475675940
399019,创业200,2012-09-17,1024.33,1027.2,994.31,994.73,-35.61,-3.46,223631900,2756998264
399019,创业200,2012-09-18,989.11,1002.9,989.11,996.49,1.75,0.18,158510800,1991860681
399019,创业200,2012-09-19,1001.67,1005.67,995.86,1003.69,7.21,0.72,161777600,1981689419
399019,创业200,2012-09-20,999.12,999.12,963.55,964.24,-39.45,-3.93,206930000,2516251016
399019,创业200,2012-09-21,962.56,966.56,945.01,945.44,-18.8,-1.95,167164700,1985441774
399019,创业200,2012-09-24,936.15,955.77,933.56,951.16,5.71,0.6,138341100,1625035474
399019,创业200,2012-09-25,947.74,953.9,939.22,940.51,-10.64,-1.12,126477900,1499939294
399019,创业200,2012-09-26,938.89,942.19,905.84,906.84,-33.68,-3.58,144125500,1674399656
399019,创业200,2012-09-27,908.48,933.73,907.03,926.85,20.01,2.21,168964300,1866283927
399019,创业200,2012-09-28,920.64,946.54,920.64,946.44,19.59,2.11,156114700,1768301224
399019,创业200,2012-10-08,947.32,952.97,943.14,948.06,1.62,0.17,121136500,1416218634
399019,创业200,2012-10-09,953.87,980.16,953.37,980.16,32.11,3.39,217130600,2588132296
399019,创业200,2012-10-10,980.13,996.61,980.13,996.61,16.44,1.68,255224900,3210267467
399019,创业200,2012-10-11,991.02,998.02,973.86,974.63,-21.98,-2.21,234095300,2964032510
399019,创业200,2012-10-12,980.61,985.4,960.17,970.78,-3.85,-0.39,185140300,2229602796
399019,创业200,2012-10-15,965.74,965.74,948.04,957.35,-13.43,-1.38,184930500,2185450487
399019,创业200,2012-10-16,955.68,969.36,952.47,960.66,3.31,0.35,151008000,1856280099
399019,创业200,2012-10-17,964.06,968.92,955.55,967.47,6.82,0.71,149033500,1798035494
399019,创业200,2012-10-18,967.61,987.15,967.61,985.5,18.03,1.86,207276200,2572650200
399019,创业200,2012-10-19,986.53,989.64,981.2,984.49,-1.02,-0.1,192341200,2304303058
399019,创业200,2012-10-22,977.09,991.39,976.51,991.39,6.91,0.7,159266300,1945633458
399019,创业200,2012-10-23,991.22,992.77,974.03,975.06,-16.34,-1.65,175146400,2125908823
399019,创业200,2012-10-24,968.25,976.08,965.51,968.39,-6.66,-0.68,144331200,1737515356
399019,创业200,2012-10-25,969.51,975.15,959.78,959.9,-8.49,-0.88,161900600,1918037258
399019,创业200,2012-10-26,958.89,958.89,935.98,941.74,-18.16,-1.89,154967100,1793028240
399019,创业200,2012-10-29,937.07,945.43,936.35,941.68,-0.06,-0.01,92728700,1112335132
399019,创业200,2012-10-30,942.8,949.75,939.81,941.99,0.31,0.03,119023100,1362844587
399019,创业200,2012-10-31,942.04,949.79,938.39,949.79,7.8,0.83,115254600,1363026617
399019,创业200,2012-11-01,952,966.06,952,964.92,15.13,1.59,171287300,2260902167
399019,创业200,2012-11-02,964.46,967.38,959.86,967.38,2.46,0.25,132021400,1596435403
399019,创业200,2012-11-05,964.73,969.9,956.69,958.52,-8.86,-0.92,140259900,1730620793
