candle_end_time,open,close,high,low,amount,info
2021-07-28,3.035,3.066,3.083,3.009,13753784.000,
2021-07-29,3.112,3.095,3.115,3.072,10272351.000,
2021-07-30,3.073,3.046,3.073,3.029,5258982.000,
2021-08-02,3.033,3.125,3.133,3.003,11704019.000,
2021-08-03,3.111,3.137,3.151,3.096,5563126.000,
2021-08-04,3.130,3.147,3.157,3.124,5784079.000,
2021-08-05,3.130,3.141,3.182,3.117,2869718.000,
2021-08-06,3.133,3.115,3.134,3.101,2753680.000,
2021-08-09,3.093,3.151,3.173,3.086,3864420.000,
2021-08-10,3.144,3.205,3.210,3.112,4239448.000,
2021-08-11,3.196,3.178,3.216,3.178,3279591.000,
2021-08-12,3.172,3.144,3.180,3.141,2303367.000,
2021-08-13,3.133,3.137,3.163,3.118,2916916.000,
2021-08-16,3.138,3.145,3.168,3.123,3349983.000,
2021-08-17,3.143,3.065,3.163,3.060,6649099.000,
2021-08-18,3.065,3.107,3.127,3.057,6467781.000,
2021-08-19,3.103,3.061,3.103,3.047,5841188.000,
2021-08-20,3.042,2.991,3.047,2.964,14932458.000,
2021-08-23,3.005,3.019,3.032,2.992,10476526.000,
2021-08-24,3.029,3.068,3.084,3.027,9800871.000,
2021-08-25,3.074,3.080,3.094,3.057,8397187.000,
2021-08-26,3.080,3.011,3.082,3.009,4294177.000,
2021-08-27,3.008,3.042,3.070,3.008,5823994.000,
2021-08-30,3.058,3.032,3.063,3.009,3875927.000,
2021-08-31,3.019,3.021,3.047,2.975,7111205.000,
2021-09-01,3.012,3.090,3.109,2.987,11547774.000,
2021-09-02,3.094,3.087,3.114,3.070,6500143.000,
2021-09-03,3.092,3.095,3.128,3.060,7923823.000,
2021-09-06,3.096,3.130,3.153,3.089,7513479.000,
2021-09-07,3.132,3.167,3.183,3.110,5601951.000,
2021-09-08,3.166,3.132,3.178,3.124,4996303.000,
2021-09-09,3.118,3.123,3.131,3.105,3858459.000,
2021-09-10,3.119,3.175,3.189,3.117,6362379.000,
2021-09-13,3.164,3.164,3.194,3.142,3896884.000,
2021-09-14,3.161,3.111,3.181,3.100,5913182.000,
2021-09-15,3.108,3.069,3.109,3.049,6611020.000,
2021-09-16,3.067,3.050,3.080,3.031,7943086.000,
