candle_end_time,open,close,high,low,amount,info
2022-10-25,1.001,1.015,1.016,0.982,1160497.000,
2022-10-26,1.018,1.013,1.022,1.010,190635.000,
2022-10-27,1.012,1.013,1.013,1.003,339433.000,
2022-10-28,1.009,0.985,1.009,0.984,54620.000,
2022-10-31,1.009,1.023,1.023,1.008,66291.000,
2022-11-01,1.018,1.026,1.028,1.015,71518.000,
2022-11-02,1.021,1.019,1.021,1.016,18518.000,
2022-11-03,0.993,0.998,1.000,0.993,10949.000,
2022-11-04,0.993,0.990,0.997,0.984,94178.000,
2022-11-07,0.990,0.988,0.990,0.979,53628.000,
2022-11-08,0.995,0.999,1.000,0.993,61445.000,
2022-11-09,1.004,1.006,1.010,1.003,34142.000,
2022-11-10,0.983,0.991,0.992,0.982,56743.000,
2022-11-11,1.035,1.031,1.035,1.028,120862.000,
2022-11-14,1.031,1.021,1.031,1.019,33430.000,
2022-11-15,1.016,1.019,1.020,1.011,60241.000,
2022-11-16,1.014,1.024,1.025,1.014,29466.000,
2022-11-17,1.018,1.029,1.030,1.018,30786.000,
2022-11-18,1.028,1.022,1.028,1.022,20322.000,
2022-11-21,1.022,1.029,1.030,1.022,19491.000,
2022-11-22,1.029,1.029,1.033,1.029,16649.000,
2022-11-23,1.036,1.044,1.044,1.036,16602.000,
2022-11-24,1.054,1.047,1.054,1.046,14750.000,
2022-11-25,1.048,1.051,1.052,1.044,11872.000,
2022-11-28,1.049,1.048,1.050,1.045,23224.000,
2022-11-29,1.040,1.038,1.046,1.037,58414.000,
2022-11-30,1.036,1.030,1.036,1.029,9130.000,
2022-12-01,1.045,1.048,1.059,1.045,25629.000,
2022-12-02,1.045,1.045,1.047,1.040,20848.000,
2022-12-05,1.048,1.031,1.048,1.028,60137.000,
2022-12-06,1.031,1.021,1.038,1.018,30316.000,
2022-12-07,1.016,1.005,1.019,1.003,29099.000,
2022-12-08,1.003,0.998,1.005,0.995,33403.000,
2022-12-09,1.003,1.005,1.006,1.000,12965.000,
2022-12-12,1.001,0.997,1.001,0.994,26757.000,
2022-12-13,1.020,1.008,1.020,1.002,27224.000,
2022-12-14,1.008,1.015,1.017,1.008,21660.000,
2022-12-15,1.010,1.007,1.010,1.005,3975.000,
2022-12-16,0.988,0.986,0.988,0.979,39444.000,
2022-12-19,0.984,0.976,0.984,0.973,13382.000,
2022-12-20,0.969,0.959,0.969,0.955,20733.000,
2022-12-21,0.964,0.970,0.971,0.964,11097.000,
2022-12-22,0.975,0.982,0.984,0.975,6030.000,
2022-12-23,0.970,0.970,0.971,0.968,5131.000,
2022-12-26,0.968,0.975,0.975,0.967,5992.000,
2022-12-27,0.972,0.979,0.981,0.972,12661.000,
2022-12-28,0.974,0.967,0.975,0.964,9643.000,
2022-12-29,0.962,0.955,0.964,0.954,9818.000,
2022-12-30,0.964,0.965,0.970,0.964,4558.000,
2023-01-03,0.964,0.963,0.964,0.957,14691.000,
2023-01-04,0.961,0.958,0.961,0.954,9772.000,
2023-01-05,0.959,0.963,0.963,0.958,16556.000,
2023-01-06,0.958,0.954,0.958,0.950,26388.000,
2023-01-09,0.962,0.963,0.965,0.961,15463.000,
2023-01-10,0.962,0.957,0.962,0.954,8574.000,
2023-01-11,0.959,0.963,0.965,0.959,20353.000,
2023-01-12,0.970,0.974,0.976,0.966,29257.000,
2023-01-13,0.974,0.970,0.974,0.970,13169.000,
2023-01-16,0.970,0.970,0.972,0.966,12569.000,
2023-01-17,0.971,0.976,0.977,0.971,6787.000,
2023-01-18,0.980,0.980,0.984,0.975,23998.000,
2023-01-19,0.968,0.965,0.968,0.959,37829.000,
2023-01-20,0.961,0.964,0.964,0.956,49451.000,
2023-01-30,0.985,0.990,0.993,0.985,41451.000,
2023-01-31,0.987,0.980,0.987,0.980,6679.000,
2023-02-01,0.990,0.992,0.992,0.987,16799.000,
