candle_end_time,open,high,low,close,amount,info,pre_close
2020-01-02,1005.62,1019.91,1005.62,1019.72,2193852.76,{},1019.72
2020-01-03,1021.67,1029.07,1018.68,1024.48,2160583.48,{},1019.72
2020-01-06,1020.00,1040.14,1020.00,1027.28,2663011.81,{},1024.48
2020-01-07,1025.66,1043.08,1019.86,1043.08,2675921.67,{},1027.28
2020-01-08,1035.84,1059.44,1034.51,1051.16,3207626.50,{},1043.08
2020-01-09,1060.58,1081.40,1060.58,1078.31,2843420.95,{},1051.16
2020-01-10,1082.31,1088.54,1076.44,1076.44,2515474.87,{},1078.31
2020-01-13,1076.76,1105.85,1069.78,1105.85,2466259.19,{},1076.44
2020-01-14,1107.78,1133.90,1107.78,1118.31,3262463.82,{},1105.85
2020-01-15,1113.25,1120.35,1105.58,1114.77,2420464.21,{},1118.31
2020-01-16,1116.51,1161.48,1116.51,1154.30,3085287.99,{},1114.77
2020-01-17,1159.37,1252.56,1159.37,1238.66,5873596.71,{},1154.30
2020-01-20,1239.44,1270.36,1208.69,1240.51,5202591.97,{},1238.66
2020-01-21,1233.65,1247.84,1194.80,1195.01,4206788.73,{},1240.51
2020-01-22,1178.78,1247.61,1157.29,1244.52,4794740.04,{},1195.01
2020-01-23,1219.23,1262.44,1177.09,1202.10,4425934.37,{},1244.52
2020-02-03,1018.28,1082.79,1015.60,1030.55,5466543.16,{},1202.10
2020-02-04,1049.96,1153.23,1049.96,1153.23,5286206.05,{},1030.55
2020-02-05,1166.97,1240.37,1166.97,1203.61,5860213.39,{},1153.23
2020-02-06,1191.73,1251.84,1191.73,1238.76,5589981.66,{},1203.61
2020-02-07,1240.04,1307.76,1234.23,1307.76,5664784.58,{},1238.76
2020-02-10,1310.53,1336.53,1293.43,1322.25,5932906.94,{},1307.76
2020-02-11,1318.42,1318.42,1266.21,1283.57,5037530.86,{},1322.25
2020-02-12,1274.80,1360.55,1274.80,1348.70,4763905.79,{},1283.57
2020-02-13,1360.13,1409.68,1353.04,1360.71,6144055.01,{},1348.70
2020-02-14,1359.37,1382.96,1305.97,1327.22,5310166.42,{},1360.71
2020-02-17,1332.97,1381.55,1332.97,1381.55,4969888.92,{},1327.22
2020-02-18,1381.58,1404.71,1372.53,1399.38,4905608.71,{},1381.55
2020-02-19,1398.78,1412.17,1373.44,1373.44,4783190.39,{},1399.38
2020-02-20,1377.76,1390.02,1321.73,1348.34,4222266.19,{},1373.44
2020-02-21,1337.56,1373.67,1337.56,1346.86,4475454.98,{},1348.34
2020-02-24,1341.99,1359.23,1328.75,1351.71,4199988.20,{},1346.86
2020-02-25,1312.48,1371.58,1312.48,1367.37,4611598.76,{},1351.71
2020-02-26,1348.08,1361.01,1286.35,1288.24,5015814.02,{},1367.37
2020-02-27,1293.19,1293.19,1251.45,1264.94,5032823.38,{},1288.24
2020-02-28,1206.86,1231.09,1187.10,1191.05,5132083.97,{},1264.94
2020-03-02,1202.96,1259.08,1194.94,1252.62,4979736.01,{},1191.05
2020-03-03,1278.27,1332.84,1272.06,1285.03,5122939.27,{},1252.62
2020-03-04,1268.83,1277.69,1226.80,1255.72,3819524.08,{},1285.03
2020-03-05,1277.71,1277.71,1246.71,1264.79,4312615.62,{},1255.72
2020-03-06,1246.10,1255.07,1237.62,1243.37,3261213.40,{},1264.79
2020-03-09,1216.04,1223.25,1171.86,1171.86,3872702.67,{},1243.37
2020-03-10,1148.40,1216.33,1135.21,1216.33,4064920.40,{},1171.86
2020-03-11,1218.52,1233.43,1184.71,1184.71,4248509.27,{},1216.33
2020-03-12,1161.92,1177.36,1151.79,1167.06,2805383.69,{},1184.71
2020-03-13,1103.96,1187.70,1103.96,1175.28,3383309.86,{},1167.06
2020-03-16,1188.08,1200.46,1115.08,1115.08,3181187.08,{},1175.28
2020-03-17,1132.95,1141.39,1079.84,1131.55,2972677.85,{},1115.08
2020-03-18,1145.30,1173.23,1115.02,1115.02,2999560.33,{},1131.55
2020-03-19,1116.26,1133.69,1091.24,1128.97,2785031.83,{},1115.02
2020-03-20,1140.09,1148.09,1114.29,1127.37,2355961.03,{},1128.97
2020-03-23,1092.50,1096.40,1037.53,1039.88,2830474.41,{},1127.37
2020-03-24,1067.01,1071.34,1020.25,1060.84,2368341.77,{},1039.88
2020-03-25,1097.31,1110.10,1094.16,1101.32,2496325.76,{},1060.84
2020-03-26,1093.33,1111.48,1091.00,1095.34,2113778.99,{},1101.32
2020-03-27,1109.54,1110.54,1082.93,1084.51,2292012.53,{},1095.34
2020-03-30,1062.90,1062.90,1021.50,1035.83,2260875.62,{},1084.51
2020-03-31,1048.74,1055.27,1027.22,1029.75,1703671.65,{},1035.83
2020-04-01,1026.58,1060.71,1026.58,1037.93,1750560.79,{},1029.75
2020-04-02,1033.56,1094.83,1033.56,1094.83,2093097.45,{},1037.93
2020-04-03,1089.24,1095.31,1074.19,1080.53,1814409.81,{},1094.83
2020-04-07,1109.61,1117.79,1108.78,1111.65,1986226.64,{},1080.53
2020-04-08,1104.96,1117.81,1100.31,1104.14,1707432.71,{},1111.65
2020-04-09,1107.47,1110.06,1094.92,1101.28,2031734.92,{},1104.14
2020-04-10,1100.37,1100.37,1054.35,1058.44,2271444.59,{},1101.28
2020-04-13,1048.21,1052.01,1038.82,1042.15,1519103.20,{},1058.44
