candle_end_time,open,close,high,low,amount,info,7,8,9,10,交易日期,开盘价,最高价,最低价,收盘价,成交量,pre_close
2023-11-15,3416.32,3394.49,3421.37,3377.25,40428308.00,{},0.00,6048815.91,0.00,0.00,2023-11-15,3416.32,3421.37,3377.25,3394.49,40428308.00,3394.49
2023-11-16,3378.01,3354.99,3391.46,3354.49,35382028.00,{},2.86,4955907.41,0.00,0.00,2023-11-16,3378.01,3391.46,3354.49,3354.99,35382028.00,3394.49
2023-11-17,3348.60,3386.41,3387.39,3347.35,32212613.00,{},2.60,4767307.11,0.00,0.00,2023-11-17,3348.60,3387.39,3347.35,3386.41,32212613.00,3354.99
2023-11-20,3389.29,3422.72,3424.77,3384.31,39804611.00,{},3.21,5633695.67,0.00,0.00,2023-11-20,3389.29,3424.77,3384.31,3422.72,39804611.00,3386.41
2023-11-21,3424.68,3385.99,3428.70,3377.81,42504546.00,{},3.43,5873452.56,0.00,0.00,2023-11-21,3424.68,3428.70,3377.81,3385.99,42504546.00,3422.72
2023-11-22,3369.82,3334.39,3389.56,3334.39,39426641.00,{},3.18,5344652.66,0.00,0.00,2023-11-22,3369.82,3389.56,3334.39,3334.39,39426641.00,3385.99
2023-11-23,3326.74,3362.22,3366.32,3310.18,32767717.00,{},2.64,4521448.78,0.00,0.00,2023-11-23,3326.74,3366.32,3310.18,3362.22,32767717.00,3334.39
2023-11-24,3362.67,3296.36,3363.67,3286.38,33543007.00,{},2.71,4673928.55,0.00,0.00,2023-11-24,3362.67,3363.67,3286.38,3296.36,33543007.00,3362.22
2023-11-27,3288.36,3307.01,3321.41,3284.84,31666835.00,{},2.56,4402280.03,0.00,0.00,2023-11-27,3288.36,3321.41,3284.84,3307.01,31666835.00,3296.36
2023-11-28,3298.74,3323.05,3325.78,3281.00,29928186.00,{},2.42,3946196.41,0.00,0.00,2023-11-28,3298.74,3325.78,3281.00,3323.05,29928186.00,3307.01
2023-11-29,3318.42,3299.42,3331.22,3293.06,27871408.00,{},2.25,3705171.24,0.00,0.00,2023-11-29,3318.42,3331.22,3293.06,3299.42,27871408.00,3323.05
2023-11-30,3294.67,3276.24,3299.42,3243.10,28217000.00,{},2.28,3778034.44,0.00,0.00,2023-11-30,3294.67,3299.42,3243.10,3276.24,28217000.00,3299.42
2023-12-01,3278.68,3346.73,3352.60,3269.90,40405300.00,{},3.26,5056004.24,0.00,0.00,2023-12-01,3278.68,3352.60,3269.90,3346.73,40405300.00,3276.24
2023-12-04,3345.21,3334.50,3363.15,3328.54,39349280.00,{},3.17,5082854.61,0.00,0.00,2023-12-04,3345.21,3363.15,3328.54,3334.50,39349280.00,3346.73
2023-12-05,3324.46,3253.48,3324.46,3253.48,32912073.00,{},2.66,4442353.78,0.00,0.00,2023-12-05,3324.46,3324.46,3253.48,3253.48,32912073.00,3334.50
2023-12-06,3245.20,3274.76,3305.36,3233.80,34392526.00,{},2.77,4206681.28,0.00,0.00,2023-12-06,3245.20,3305.36,3233.80,3274.76,34392526.00,3253.48
2023-12-07,3272.10,3292.95,3309.24,3264.59,39060176.00,{},3.15,5091815.82,0.00,0.00,2023-12-07,3272.10,3309.24,3264.59,3292.95,39060176.00,3274.76
2023-12-08,3293.00,3315.40,3336.93,3287.08,42455070.00,{},3.43,6138614.74,0.00,0.00,2023-12-08,3293.00,3336.93,3287.08,3315.40,42455070.00,3292.95
2023-12-11,3302.80,3363.15,3365.24,3274.95,41535133.00,{},3.06,5654076.25,0.00,0.00,2023-12-11,3302.80,3365.24,3274.95,3363.15,41535133.00,3315.40
2023-12-12,3362.31,3362.72,3377.65,3348.36,35204413.00,{},2.87,5049204.90,0.00,0.00,2023-12-12,3362.31,3377.65,3348.36,3362.72,35204413.00,3363.15
2023-12-13,3354.57,3329.77,3370.45,3329.74,34881501.00,{},2.84,4854246.97,0.00,0.00,2023-12-13,3354.57,3370.45,3329.74,3329.77,34881501.00,3362.72
2023-12-14,3341.62,3294.06,3366.25,3292.14,31799674.00,{},2.59,4424239.07,0.00,0.00,2023-12-14,3341.62,3366.25,3292.14,3294.06,31799674.00,3329.77
2023-12-15,3298.42,3267.25,3307.31,3258.32,30662043.00,{},2.50,4097833.52,0.00,0.00,2023-12-15,3298.42,3307.31,3258.32,3267.25,30662043.00,3294.06
2023-12-18,3261.95,3206.20,3267.63,3199.63,27453297.00,{},2.24,3738702.71,0.00,0.00,2023-12-18,3261.95,3267.63,3199.63,3206.20,27453297.00,3267.25
2023-12-19,3204.54,3224.26,3239.30,3188.36,24137609.00,{},1.97,3340126.89,0.00,0.00,2023-12-19,3204.54,3239.30,3188.36,3224.26,24137609.00,3206.20
2023-12-20,3230.93,3161.10,3233.77,3160.63,25148916.00,{},2.05,3598427.69,0.00,0.00,2023-12-20,3230.93,3233.77,3160.63,3161.10,25148916.00,3224.26
2023-12-21,3145.91,3187.91,3197.76,3115.24,27539562.00,{},2.24,3793292.34,0.00,0.00,2023-12-21,3145.91,3197.76,3115.24,3187.91,27539562.00,3161.10
2023-12-22,3186.37,3108.47,3188.44,3097.72,38259782.00,{},3.11,4836598.70,0.00,0.00,2023-12-22,3186.37,3188.44,3097.72,3108.47,38259782.00,3187.91
2023-12-25,3112.64,3117.87,3132.45,3090.68,24693750.00,{},2.01,3286726.45,0.00,0.00,2023-12-25,3112.64,3132.45,3090.68,3117.87,24693750.00,3108.47
2023-12-26,3116.63,3057.49,3116.63,3041.42,23258116.00,{},1.89,3115758.67,0.00,0.00,2023-12-26,3116.63,3116.63,3041.42,3057.49,23258116.00,3117.87
2023-12-27,3064.39,3079.92,3087.84,3052.83,25034452.00,{},2.03,3308026.08,0.00,0.00,2023-12-27,3064.39,3087.84,3052.83,3079.92,25034452.00,3057.49
2023-12-28,3073.19,3137.87,3153.20,3049.81,29783995.00,{},2.42,4066528.12,0.00,0.00,2023-12-28,3073.19,3153.20,3049.81,3137.87,29783995.00,3079.92
2023-12-29,3136.32,3207.58,3207.58,3135.03,33456821.00,{},2.71,4549937.93,0.00,0.00,2023-12-29,3136.32,3207.58,3135.03,3207.58,33456821.00,3137.87
2024-01-02,3213.56,3176.94,3215.56,3176.93,30960232.00,{},2.51,4051108.93,0.00,0.00,2024-01-02,3213.56,3215.56,3176.93,3176.94,30960232.00,3207.58
2024-01-03,3164.65,3144.34,3177.01,3119.72,27182859.00,{},2.20,3581117.76,0.00,0.00,2024-01-03,3164.65,3177.01,3119.72,3144.34,27182859.00,3176.94
2024-01-04,3137.70,3124.58,3137.89,3105.34,22881081.00,{},1.85,3103654.59,0.00,0.00,2024-01-04,3137.70,3137.89,3105.34,3124.58,22881081.00,3144.34
2024-01-05,3124.99,3048.98,3131.65,3034.52,25270511.00,{},2.04,3435011.73,0.00,0.00,2024-01-05,3124.99,3131.65,3034.52,3048.98,25270511.00,3124.58
2024-01-08,3042.56,2976.20,3043.29,2976.20,22140730.00,{},1.79,2837569.27,0.00,0.00,2024-01-08,3042.56,3043.29,2976.20,2976.20,22140730.00,3048.98
2024-01-09,2989.54,2979.60,3016.46,2956.92,26596300.00,{},2.15,3156755.78,0.00,0.00,2024-01-09,2989.54,3016.46,2956.92,2979.60,26596300.00,2976.20
2024-01-10,2971.91,2940.42,2987.34,2913.33,24903238.00,{},2.01,2882421.60,0.00,0.00,2024-01-10,2971.91,2987.34,2913.33,2940.42,24903238.00,2979.60
2024-01-11,2939.31,3013.27,3024.41,2936.26,25681750.00,{},2.08,3211846.29,0.00,0.00,2024-01-11,2939.31,3024.41,2936.26,3013.27,25681750.00,2940.42
2024-01-12,3005.77,2971.40,3015.74,2969.59,23139622.00,{},1.87,2909492.29,0.00,0.00,2024-01-12,3005.77,3015.74,2969.59,2971.40,23139622.00,3013.27
2024-01-15,2959.81,2961.26,2990.93,2937.08,19957696.00,{},1.61,2541457.56,0.00,0.00,2024-01-15,2959.81,2990.93,2937.08,2961.26,19957696.00,2971.40
2024-01-16,2959.14,2947.34,2959.14,2898.11,22427644.00,{},1.81,2687556.20,0.00,0.00,2024-01-16,2959.14,2959.14,2898.11,2947.34,22427644.00,2961.26
