candle_end_time,指数涨跌幅,是选股日,选股日期,选股结果,持有股票,买入日期,涨跌幅,open,close,策略资金曲线_带择时,指数
2008/7/14,0.007574065,FALSE,2008/7/11,,金德发展(sz000639) 莱茵置业(sz000558) 沃华医药(sz002107) ,2008/7/14,0.059009489,1,1.059009489,1.059009489,1.007574065
2008/7/15,-0.041295487,FALSE,2008/7/11,,金德发展(sz000639) 莱茵置业(sz000558) 沃华医药(sz002107) ,2008/7/14,-0.016252376,1.059009489,1.041798068,1.041798068,0.965965803
2008/7/16,-0.037637838,FALSE,2008/7/11,,金德发展(sz000639) 莱茵置业(sz000558) 沃华医药(sz002107) ,2008/7/14,-0.058784402,1.041798068,0.980556592,0.980556592,0.929608939
2008/7/17,-0.010026952,FALSE,2008/7/11,,金德发展(sz000639) 莱茵置业(sz000558) 沃华医药(sz002107) ,2008/7/14,-0.013964551,0.980556592,0.966863559,0.966863559,0.920287794
2008/7/18,0.035830571,TRUE,2008/7/11,金德发展(sz000639) 联环药业(sh600513) 天目药业(sh600671) ,金德发展(sz000639) 莱茵置业(sz000558) 沃华医药(sz002107) ,2008/7/14,0.035413304,0.966863559,1.001103393,1.001103393,0.953262231
2008/7/21,0.033951823,FALSE,2008/7/18,,金德发展(sz000639) 联环药业(sh600513) 天目药业(sh600671) ,2008/7/21,0.04444545,1.001103393,1.045597884,1.045597884,0.985627222
2008/7/22,-0.002167603,FALSE,2008/7/18,,金德发展(sz000639) 联环药业(sh600513) 天目药业(sh600671) ,2008/7/21,0.026558252,1.045597884,1.073367136,1.073367136,0.983490774
2008/7/23,-0.007374154,FALSE,2008/7/18,,金德发展(sz000639) 联环药业(sh600513) 天目药业(sh600671) ,2008/7/21,0.000892531,1.073367136,1.074325149,1.074325149,0.976238361
2008/7/24,0.03261518,FALSE,2008/7/18,,金德发展(sz000639) 联环药业(sh600513) 天目药业(sh600671) ,2008/7/21,0.012567391,1.074325149,1.087826613,1.087826613,1.008078551
2008/7/25,-0.012816724,TRUE,2008/7/18,金宇车城(sz000803) 金德发展(sz000639) 联环药业(sh600513) ,金德发展(sz000639) 联环药业(sh600513) 天目药业(sh600671) ,2008/7/21,-0.008757747,1.087826613,1.078299703,1.078299703,0.995158287
2008/7/28,0.00736595,FALSE,2008/7/25,,金宇车城(sz000803) 金德发展(sz000639) 联环药业(sh600513) ,2008/7/28,0.035080222,1.078299703,1.116126696,1.116126696,1.002488573
2008/7/29,-0.01865005,FALSE,2008/7/25,,金宇车城(sz000803) 金德发展(sz000639) 联环药业(sh600513) ,2008/7/28,-0.007239067,1.116126696,1.108046981,1.108046981,0.983792111
2008/7/30,-0.007313388,FALSE,2008/7/25,,金宇车城(sz000803) 金德发展(sz000639) 联环药业(sh600513) ,2008/7/28,-0.010189066,1.108046981,1.096757016,1.096757016,0.976597257
